GeneratingCenterId|Grib1CodeTable2Version|Grib1Parameter|Grib1TimeRange|Grib1ParameterThresholdIndicator|Grib1ParameterThresholdLower|Grib1ParametersThresholdUpper|Grib1ParameterThresholdScale|Grib1LevelParameter|ParameterId|Unit|Load
1|1|34|1|0|0|0|0|103|34|K|t
1|1|66|1|0|0|0|0|103|66|K|t
1|1|85|1|0|0|0|0|103|85|K|t
1|1|87|1|0|0|0|0|102|87|K|t
1|1|87|1|0|0|0|0|103|87|K|t
1|1|254|0|0|0|0|0|102|1|K|f
88|128|1|0|0|0|0|0|102|1|hPa|t
88|128|1|1|0|0|0|0|102|1|hPa|t
88|128|1|0|0|0|0|0|103|1|hPa|t
88|128|1|1|0|0|0|0|103|1|hPa|t
88|128|1|0|0|0|0|0|105|1|hPa|t
88|128|1|1|0|0|0|0|105|1|hPa|t
88|128|6|0|0|0|0|0|105|6|m|t
88|128|11|0|0|0|0|0|102|11|K|t
88|128|11|1|0|0|0|0|102|11|K|t
88|128|11|0|0|0|0|0|105|11|K|t
88|128|11|1|0|0|0|0|105|11|K|t
88|128|11|0|0|0|0|0|112|11|K|t
88|128|11|1|0|0|0|0|112|11|K|t
88|128|33|0|0|0|0|0|100|33|m/s|t
88|128|33|0|0|0|0|0|105|33|m/s|t
88|128|33|1|0|0|0|0|105|33|m/s|t
88|128|33|0|0|0|0|0|109|33|m/s|t
88|128|34|0|0|0|0|0|100|34|m/s|t
88|128|34|0|0|0|0|0|105|34|m/s|t
88|128|34|1|0|0|0|0|105|34|m/s|t
88|128|34|0|0|0|0|0|109|34|m/s|t
88|128|51|0|0|0|0|0|105|51|ratio|t
88|128|51|0|0|0|0|0|109|51|ratio|t
88|128|52|0|0|0|0|0|100|52|%|t
88|128|52|0|0|0|0|0|105|52|%|t
88|128|52|1|0|0|0|0|105|52|%|t
88|128|61|0|0|0|0|0|105|61|mm|t
88|128|61|4|0|0|0|0|105|61|mm|t
88|128|61|4|0|0|0|0|109|61|mm|t
88|128|62|4|0|0|0|0|105|62|mm|t
88|128|63|4|0|0|0|0|105|63|mm|t
88|128|65|4|0|0|0|0|105|65|mm|t
88|128|71|0|0|0|0|0|105|71|%|t
88|128|71|1|0|0|0|0|105|71|%|t
88|128|73|0|0|0|0|0|105|73|%|t
88|128|73|1|0|0|0|0|105|73|%|t
88|128|74|0|0|0|0|0|105|74|%|t
88|128|74|1|0|0|0|0|105|74|%|t
88|128|75|0|0|0|0|0|105|75|%|t
88|128|75|1|0|0|0|0|105|75|%|t
88|128|71|0|0|0|0|0|1|71|%|t
88|128|71|1|0|0|0|0|1|71|%|t
88|128|71|0|0|0|0|0|101|71|%|t
88|128|71|1|0|0|0|0|101|71|%|t
88|128|73|0|0|0|0|0|101|73|%|t
88|128|73|1|0|0|0|0|101|73|%|t
88|128|74|0|0|0|0|0|101|74|%|t
88|128|74|1|0|0|0|0|101|74|%|t
88|128|75|0|0|0|0|0|101|75|%|t
88|128|75|1|0|0|0|0|101|75|%|t
88|128|81|0|0|0|0|0|105|81|%|t
88|128|81|1|0|0|0|0|105|81|%|t
88|128|84|0|0|0|0|0|105|84|%|t
88|128|84|1|0|0|0|0|105|84|%|t
88|128|91|0|0|0|0|0|102|91|%|t
88|128|91|1|0|0|0|0|102|91|%|t
88|128|111|4|0|0|0|0|105|111|kW.s/m2|t
88|128|112|4|0|0|0|0|105|112|kW.s/m2|t
88|128|140|0|0|0|0|0|105|140|K|t
88|128|140|1|0|0|0|0|105|140|K|t
98|128|121|1|0|0|0|0|1|121|W/m2|t
98|128|121|2|0|0|0|0|1|121|W/m2|t
98|128|122|1|0|0|0|0|1|122|W/m2|t
