Data Provider Id|DataProvider namespace|Name|ValidFrom|ValidTo|LeftSet|RightSet
-1|0|test invalid|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|-1|-1
0|0|test group|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|0|99
1|0|test writer|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|1|2
10|0|test wci 0|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10|11
11|0|test wci 1|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|12|13
12|0|test wci 2|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|14|15
13|0|test wci 3|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|16|17
14|0|test wci 4|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|18|19
15|0|test wci 5|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|20|21
16|0|test wci 6|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|22|23
17|0|test wci 7|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|24|25
20|0|test cleandb|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|26|27
30|0|test gribload|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|30|31
40|0|test feltload|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|40|41
50|0|test xml|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|50|51
100|0|wdb|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|100|199
101|0|gribload|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|101|102
102|0|feltload|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|103|104
103|0|xmlload|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|105|106
5000|0|kvalobs|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|1030|1031
10000|0|proff|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10000|10999
10001|0|proff.raw|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10001|10002
10010|0|proff.h12|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10010|10011
10011|0|proff.h12h8|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10012|10013
10012|0|proff.h12h8h4|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10014|10015
10013|0|proff.h12h8um4|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10016|10017
10014|0|proff.h12h4|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10018|10019
10015|0|proff.h12um4|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10020|10021
10017|0|proff.h12h8h4vind|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10022|10023
10100|0|proff.default|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10100|10101
10200|0|proff.approved|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|10200|10201
88001|0|hirlam norway|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|88001|88002
88067|0|wam norway|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|88067|88068
88501|0|pgen_probability yr|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|88501|88502
88502|0|pgen_percentile yr|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|88503|88504
198000|0|ecmwf felt|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|198000|198999
198103|0|ecmwf felt 103|2000-01-01T00:00:00Z|2000-01-01T00:00:00Z|198103|198104
