PlaceId|NamespaceId|Name|ValidFrom|ValidTo
0|999|test grid, regular|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
500|999|test grid, rotated|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
1000|999|hirlam 10 grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
1001|999|hirlam 10 u|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
1002|999|hirlam 10 v|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
1010|999|hirlam 20|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
1020|999|proff grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10000|999|oslo|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10001|999|sortland|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10002|999|test point|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
1020|88|proff grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
1030|88|ecmwf grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
1040|88|hirlam yr grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10000|88|oslo|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10001|88|sortland|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10002|88|test point|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10960|88|wam 50km grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
12015|88|wam 4km grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10903|88|arctic 20km grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10948|88|nordic 4km grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10915|88|skaggerak 1.5km grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10910|88|north sea 20km grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10942|88|north sea 4km grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10919|88|oslo fjord 300m grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10918|88|boddo loppa 500m grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
10400|88|senorge 1km grid|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
20000|88|ecmwf grid 1|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
20001|88|ecmwf grid 2|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
20002|88|ecmwf grid 3|2000-01-01T00:00:00Z|2999-01-01T00:00:00Z
30000|88|norway 25m 6403_32|-infinity|infinity
30001|88|norway 25m 6404_32|-infinity|infinity
30002|88|norway 25m 6405_32|-infinity|infinity
30003|88|norway 25m 6502_32|-infinity|infinity
30004|88|norway 25m 6503_32|-infinity|infinity
30005|88|norway 25m 6504_32|-infinity|infinity
30006|88|norway 25m 6505_32|-infinity|infinity
30007|88|norway 25m 6506_32|-infinity|infinity
30008|88|norway 25m 6602_32|-infinity|infinity
30009|88|norway 25m 6603_32|-infinity|infinity
30010|88|norway 25m 6604_32|-infinity|infinity
30011|88|norway 25m 6605_32|-infinity|infinity
30012|88|norway 25m 6606_32|-infinity|infinity
30013|88|norway 25m 6702_32|-infinity|infinity
30014|88|norway 25m 6703_32|-infinity|infinity
30015|88|norway 25m 6704_32|-infinity|infinity
30016|88|norway 25m 6705_32|-infinity|infinity
30017|88|norway 25m 6706_32|-infinity|infinity
30018|88|norway 25m 6707_32|-infinity|infinity
30019|88|norway 25m 6802_32|-infinity|infinity
30020|88|norway 25m 6803_32|-infinity|infinity
30021|88|norway 25m 6804_32|-infinity|infinity
30022|88|norway 25m 6805_32|-infinity|infinity
30023|88|norway 25m 6806_32|-infinity|infinity
30024|88|norway 25m 6807_32|-infinity|infinity
30025|88|norway 25m 6902_32|-infinity|infinity
30026|88|norway 25m 6903_32|-infinity|infinity
30027|88|norway 25m 6904_32|-infinity|infinity
30028|88|norway 25m 6905_32|-infinity|infinity
30029|88|norway 25m 6906_32|-infinity|infinity
30030|88|norway 25m 7004_32|-infinity|infinity
30031|88|norway 25m 7005_32|-infinity|infinity
30032|88|norway 25m 7006_32|-infinity|infinity
30033|88|norway 25m 7105_32|-infinity|infinity
30034|88|norway 25m 7106_32|-infinity|infinity
30035|88|norway 25m 7107_32|-infinity|infinity
30036|88|norway 25m 7205_32|-infinity|infinity
30037|88|norway 25m 7206_32|-infinity|infinity
30038|88|norway 25m 7207_32|-infinity|infinity
30039|88|norway 25m 7102_33|-infinity|infinity
30040|88|norway 25m 7103_33|-infinity|infinity
30041|88|norway 25m 7104_33|-infinity|infinity
30042|88|norway 25m 7202_33|-infinity|infinity
30043|88|norway 25m 7203_33|-infinity|infinity
30044|88|norway 25m 7204_33|-infinity|infinity
30045|88|norway 25m 7303_33|-infinity|infinity
30046|88|norway 25m 7304_33|-infinity|infinity
30047|88|norway 25m 7305_33|-infinity|infinity
30048|88|norway 25m 7403_33|-infinity|infinity
30049|88|norway 25m 7404_33|-infinity|infinity
30050|88|norway 25m 7405_33|-infinity|infinity
30051|88|norway 25m 7503_33|-infinity|infinity
30052|88|norway 25m 7504_33|-infinity|infinity
30053|88|norway 25m 7505_33|-infinity|infinity
30054|88|norway 25m 7506_33|-infinity|infinity
30055|88|norway 25m 7507_33|-infinity|infinity
30056|88|norway 25m 7604_33|-infinity|infinity
30057|88|norway 25m 7605_33|-infinity|infinity
30058|88|norway 25m 7606_33|-infinity|infinity
30059|88|norway 25m 7607_33|-infinity|infinity
30060|88|norway 25m 7608_33|-infinity|infinity
30061|88|norway 25m 7705_33|-infinity|infinity
30062|88|norway 25m 7706_33|-infinity|infinity
30063|88|norway 25m 7707_33|-infinity|infinity
30064|88|norway 25m 7708_33|-infinity|infinity
30065|88|norway 25m 7806_33|-infinity|infinity
30066|88|norway 25m 7807_33|-infinity|infinity
30067|88|norway 25m 7602_35|-infinity|infinity
30068|88|norway 25m 7603_35|-infinity|infinity
30069|88|norway 25m 7604_35|-infinity|infinity
30070|88|norway 25m 7605_35|-infinity|infinity
30071|88|norway 25m 7606_35|-infinity|infinity
30072|88|norway 25m 7702_35|-infinity|infinity
30073|88|norway 25m 7703_35|-infinity|infinity
30074|88|norway 25m 7704_35|-infinity|infinity
30075|88|norway 25m 7705_35|-infinity|infinity
30076|88|norway 25m 7706_35|-infinity|infinity
30077|88|norway 25m 7802_35|-infinity|infinity
30078|88|norway 25m 7803_35|-infinity|infinity
30079|88|norway 25m 7804_35|-infinity|infinity
30080|88|norway 25m 7805_35|-infinity|infinity
30081|88|norway 25m 7806_35|-infinity|infinity
1031|88|norway 025|-infinity|infinity
