ParameterId|Statistics|ParameterId
15|max|11
16|min|11
61|accumulated|228
62|accumulated|10062
63|accumulated|10063
65|accumulated|10065
103|mean|10103
106|mean|10106
108|mean|10108
110|mean|10110
111|accumulated|10111
112|accumulated|10112
113|accumulated|10113
114|accumulated|10114
142|accumulated|10142
143|accumulated|10143
189|accumulated|10189
