Id|Value Domain|Unit|QuantityType
1|air|hectopascal|scalar
3|air|pascal per second|scalar
4|air|kelvin square metre per kilogram second|scalar
5|icao standard atmospheric reference|metre|scalar
6|geopotential height|square metre per square second|scalar
8|geometrical height|metre|scalar
10|ozone dobson|dobson|scalar
11|air|kelvin|scalar
1105|kalman air|kelvin|scalar
12|virtual air|kelvin|scalar
13|potential air|kelvin|scalar
14|pseudo-abiadetic potential air|kelvin|scalar
17|dew point|kelvin|scalar
18|dew point depression|kelvin|scalar
19|air|kelvin per metre|scalar
20|visibility|metre|scalar
24|parcel lifted index|kelvin|scalar
25|air anomaly|kelvin|scalar
26|air anomaly|pascal|scalar
27|geopotential height anomaly|square metre per square second|scalar
32|wind|metre per second|scalar
33|wind|metre per second|u vector
34|wind|metre per second|v vector
35|stream function|square metre per second|scalar
36|potential air|square metre per second|scalar
37|montgomery stream function|square metre per square second|scalar
38|sigma coordinate vertical|per second|scalar
39|vertical|pascal per second|scalar
40|vertical|metre per second|scalar
41|absolute vorticity|per second|scalar
42|absolute divergence|per second|scalar
43|relative vorticity|per second|scalar
44|relative divergence|per second|scalar
45|vertical shear|per second|u vector
46|vertical shear|per second|v vector
48|current|metre per second|scalar
49|current|metre per second|u vector
50|current|metre per second|v vector
54|precipitable water|kilogram per square metre|scalar
55|vapour|pascal|scalar
56|saturation deficit|pascal|scalar
57|evaporation|kilogram per square metre|scalar
58|cloud ice|kilogram per square metre|scalar
59|precipitation|kilogram per square metre second|scalar
64|water equivalent snow|kilogram per square metre second|scalar
66|snow depth|metre|scalar
67|mixed layer depth|metre|scalar
68|transient thermocline depth|metre|scalar
69|main thermocline depth|metre|scalar
70|main thermocline anomaly|metre|scalar
76|cloud water|kilogram per square metre|scalar
77|best lifted index|kelvin|scalar
78|convective snow|kilogram per square metre|scalar
79|large scale snow|kilogram per square metre|scalar
80|precipitable water|kelvin|scalar
82|deviation from mean sea level|metre|scalar
83|surface roughness|metre|scalar
85|soil|kelvin|scalar
86|soil|kilogram per square metre|scalar
88|water salinity|kilogram per kilogram|scalar
89|water|kilogram per cubic metre|scalar
90|water run-off|kilogram per square metre|scalar
92|ice thickness|metre|scalar
94|ice drift|metre per second|scalar
95|ice drift|metre per second|u vector
96|ice drift|metre per second|v vector
97|ice growth rate|metre per second|scalar
98|ice divergence|per second|scalar
99|snow melt|kilogram per square metre|scalar
100|significant combined wind waves and swell height|metre|scalar
102|significant wind waves height|metre|scalar
105|significant swell waves height|metre|scalar
115|long-wave|watt per square metre|scalar
116|short-wave|watt per square metre|scalar
117|global|watt per square metre|scalar
118|brightness|kelvin|scalar
119|wave number|watt per metre steradian|u vector
120|wave number|watt per metre steradian|v vector
121|latent heat|watt per square metre|scalar
122|sensible heat|watt per square metre|scalar
123|boundary layer dissipation|watt per square metre|scalar
124|momentum flux|newton per square metre|u vector
125|momentum flux|newton per square metre|v vector
126|wind mixing|joule|scalar
140|land|kelvin|scalar
144|snow fall|metre|scalar
189|sunshine|minute|scalar
228|rain|kilogram per square metre|scalar
254|undefined|ratio|scalar
351|geometrical sea depth|metre|scalar
1101|model topography|metre|scalar
6100|total precipitation|millimetre|scalar
