PlaceId|Place Indeterminate Code|Place Type|Place Storetime|Place Geo
10001|0|Point|2008-02-21T00:00:00Z|0101000020BE0F000030BB270F0BD52E40E3361AC05B2C5140
10000|0|Point|2008-02-21T00:00:00Z|0101000020BE0F000003780B24287E25405BB1BFEC9EF44D40
10002|0|Point|2008-08-15T00:00:00Z|0101000020BE0F000000000000000044C0F1F44A5986085140
10003|0|Point|2008-08-15T00:00:00Z|0101000020BE0F000000000000000039C06666666666661640
10004|0|Point|2008-08-15T00:00:00Z|0101000020BE0F00006666666666661CC09A999999999926C0
10005|0|Point|2008-08-15T00:00:00Z|0101000020BE0F00006666666666662E400000000000E04B40
10006|0|Point|2008-08-15T00:00:00Z|0101000020BE0F00006666666666662E4014AE47E17AB44B40
10007|0|Point|2008-08-15T00:00:00Z|0101000020BE0F00000000000000002E400000000000004C40
10008|0|Point|2008-08-15T00:00:00Z|0101000020BE0F000000000000000031405C8FC2F528FC4B40
10009|0|Point|2008-08-15T00:00:00Z|0101000020BE0F000000000000000014400000000000004C40
