PlaceId|nx|ny|ix|iy|startx|starty|srid
0|2|2|0.100|0.100|0.0000|0.0000|50000
500|2|2|0.100|0.100|0.0000|0.0000|50001
1000|248|400|0.100|0.100|5.7500|-13.2500|50001
1001|248|400|0.100|0.100|5.8000|-13.2500|50001
1002|248|400|0.100|0.100|5.7500|-13.2000|50001
1010|468|378|0.200|0.200|-46.5000|-36.5000|50002
1020|850|1100|0.036|0.036|-6.7390|-16.0390|50003
1030|187|109|0.500|0.500|-21.0000|30.0000|50000
1040|344|555|0.072|0.072|5.7500|-13.2500|50001
10960|142|113|0.450|0.450|-41.8000|-25.0000|50002
12015|300|500|0.036|0.036|11.0450|-5.4550|50003
10903|320|240|20000.000|20000.000|-4180000.0000|-2570000.0000|50004
10948|1022|578|4000.000|4000.000|-3988000.0000|-2548000.0000|50004
10915|437|727|1500.000|1500.000|-2980500.0000|-2536500.0000|50004
10910|80|70|20000.000|20000.000|-3820000.0000|-2570000.0000|50004
10942|167|280|4000.000|4000.000|-2988000.0000|-2548000.0000|50004
10919|240|396|300.000|300.000|-795000.0000|-3211800.0000|50005
10918|980|303|500.000|500.000|-1668500.0000|-1723500.0000|50004
10400|1195|1550|1000.000|1000.000|-75000.0000|6450000.0000|50006
20000|720|181|0.500|0.500|-179.5000|0.0000|50000
20001|720|181|0.500|0.500|-179.5000|-90.0000|50000
20002|1440|721|0.250|0.250|-179.7500|-90.0000|50000
30000|4001|4001|25.000|25.000|300000.0000|6400000.0000|32632
30001|4001|4001|25.000|25.000|400000.0000|6400000.0000|32632
30002|2001|2001|25.000|25.000|500000.0000|6450000.0000|32632
30003|2001|4001|25.000|25.000|250000.0000|6500000.0000|32632
30004|4001|4001|25.000|25.000|300000.0000|6500000.0000|32632
30005|4001|4001|25.000|25.000|400000.0000|6500000.0000|32632
30006|4001|4001|25.000|25.000|500000.0000|6500000.0000|32632
30007|2759|3680|25.000|25.000|600000.0000|6508020.0000|32632
30008|2001|4001|25.000|25.000|250000.0000|6600000.0000|32632
30009|4001|4001|25.000|25.000|300000.0000|6600000.0000|32632
30010|4001|4001|25.000|25.000|400000.0000|6600000.0000|32632
30011|4001|4001|25.000|25.000|500000.0000|6600000.0000|32632
30012|4001|4001|25.000|25.000|600000.0000|6600000.0000|32632
30013|2001|4001|25.000|25.000|250000.0000|6700000.0000|32632
